num,corner,vdd,temp,slewrp,slewrm,slewr
0,tt,3.3,25,1.23424E+06,1.32467E+06,1.27946E+06
1,ss,3.0,-40,1.00105E+06,1.29519E+06,1.14812E+06
2,ff,3.0,-40,1.04658E+06,1.3259E+06,1.18624E+06
3,sf,3.0,-40,992662,1.34084E+06,1.16675E+06
4,fs,3.0,-40,1.0471E+06,1.28258E+06,1.16484E+06
5,ll,3.0,-40,1.15302E+06,1.48112E+06,1.31707E+06
6,hh,3.0,-40,925421,1.16893E+06,1.04717E+06
7,ss,3.0,85,1.00146E+06,1.36361E+06,1.18253E+06
8,ff,3.0,85,1.03753E+06,1.41236E+06,1.22494E+06
9,sf,3.0,85,995811,1.42506E+06,1.21044E+06
10,fs,3.0,85,1.0471E+06,1.3509E+06,1.199E+06
11,ll,3.0,85,1.13687E+06,1.56538E+06,1.35112E+06
12,hh,3.0,85,916473,1.25303E+06,1.08475E+06
13,ss,5.5,-40,1.49805E+06,1.33062E+06,1.41434E+06
14,ff,5.5,-40,1.50764E+06,1.36974E+06,1.43869E+06
15,sf,5.5,-40,1.50111E+06,1.38194E+06,1.44152E+06
16,fs,5.5,-40,1.50561E+06,1.32135E+06,1.41348E+06
17,ll,5.5,-40,1.67358E+06,1.51115E+06,1.59237E+06
18,hh,5.5,-40,1.3547E+06,1.21905E+06,1.28687E+06
19,ss,5.5,85,1.49379E+06,1.41868E+06,1.45624E+06
20,ff,5.5,85,1.50498E+06,1.44154E+06,1.47326E+06
21,sf,5.5,85,1.49738E+06,1.471E+06,1.48419E+06
22,fs,5.5,85,1.5038E+06,1.40009E+06,1.45194E+06
23,ll,5.5,85,1.67133E+06,1.60638E+06,1.63885E+06
24,hh,5.5,85,1.35134E+06,1.2889E+06,1.32012E+06
